ESTUDIANTE,promediohistorico,promedioasistencia,# de Semestre,Desertor
Estudiante 388,0.0,0.0,1,1
Estudiante 389,9.154285714285715,96.0,1,0
Estudiante 39,6.666666666666667,87.11111111111111,1,0
Estudiante 390,9.351111111111111,99.66666666666667,2,0
Estudiante 391,8.668571428571429,92.57142857142857,1,0
Estudiante 392,9.288888888888888,96.44444444444444,2,0
Estudiante 393,0.1457142857142857,8.571428571428571,1,1
Estudiante 394,8.42,86.83333333333333,1,0
Estudiante 395,8.627142857142857,96.57142857142857,1,0
Estudiante 396,8.972222222222221,95.22222222222223,2,0
Estudiante 397,9.531428571428572,99.14285714285714,1,0
Estudiante 398,8.265,82.875,1,0
Estudiante 399,6.161428571428571,85.71428571428571,1,0
Estudiante 4,8.897058823529411,99.3529411764706,3,0
Estudiante 40,8.602,99.26666666666667,2,0
Estudiante 400,8.224285714285715,95.14285714285714,1,0
Estudiante 401,0.0,10.714285714285714,1,1
Estudiante 402,8.625714285714286,96.42857142857143,1,0
Estudiante 403,7.70875,90.0,1,0
Estudiante 404,9.154444444444444,99.66666666666667,2,0
Estudiante 405,0.9514285714285714,5.714285714285714,1,1
Estudiante 406,8.389999999999999,96.14285714285714,1,0
Estudiante 407,9.042857142857143,93.85714285714286,1,0
Estudiante 408,9.73,96.0,1,0
Estudiante 409,9.52,94.0,1,0
Estudiante 41,8.997142857142858,98.57142857142857,2,0
Estudiante 410,9.77,100.0,1,0
Estudiante 411,8.27,94.0,1,0
Estudiante 412,8.56,90.0,1,0
Estudiante 413,9.65,100.0,1,0
Estudiante 414,8.74,96.0,1,0
Estudiante 415,8.47,84.0,1,0
Estudiante 416,8.54,94.0,1,0
Estudiante 417,0.0,0.0,1,1
Estudiante 418,9.47,100.0,1,0
Estudiante 419,9.86,100.0,1,0
Estudiante 42,7.676666666666667,98.33333333333333,3,0
Estudiante 420,7.56,97.0,1,0
Estudiante 421,9.18,100.0,1,0
Estudiante 422,9.14,97.0,1,0
Estudiante 423,8.88,96.0,1,0
Estudiante 424,8.1,100.0,1,0
Estudiante 425,5.17,41.0,1,1
Estudiante 426,4.12,90.0,1,0
Estudiante 427,8.07,88.0,2,0
Estudiante 428,4.01,42.0,2,1
Estudiante 429,9.44,100.0,2,0
Estudiante 43,8.71125,99.0625,2,0
Estudiante 430,9.38,96.0,2,0
Estudiante 431,7.17,74.0,2,0
Estudiante 432,8.78,84.0,2,0
Estudiante 433,4.73,62.0,2,1
Estudiante 434,9.59,96.0,3,0
Estudiante 435,7.02,96.0,3,0
Estudiante 436,7.39,79.0,3,0
Estudiante 437,7.23,84.0,3,0
Estudiante 438,7.05,83.0,3,0
Estudiante 439,7.44,96.0,3,0
Estudiante 44,8.660625,98.1875,2,0
Estudiante 440,7.26,96.0,3,0
Estudiante 441,0.0,0.0,3,1
Estudiante 442,9.58,96.0,3,0
Estudiante 443,9.08,100.0,3,0
Estudiante 444,1.70625,41.625,1,1
Estudiante 445,0.8757142857142857,9.142857142857142,1,1
Estudiante 446,0.0,8.0,1,1
Estudiante 447,1.8657142857142859,12.571428571428571,1,1
Estudiante 448,2.87125,35.375,1,1
Estudiante 449,0.44571428571428573,0.0,1,1
Estudiante 45,9.03,98.4375,2,0
Estudiante 450,0.2357142857142857,0.0,1,1
Estudiante 451,3.246666666666666,62.0,1,1
Estudiante 452,1.9042857142857144,12.571428571428571,1,1
Estudiante 453,6.755,96.16666666666667,1,1
Estudiante 454,0.7833333333333333,0.0,1,1
Estudiante 455,2.728,29.8,1,1
Estudiante 456,8.76,100.0,1,1
Estudiante 457,9.4,100.0,1,1
Estudiante 458,8.76,96.0,1,1
Estudiante 459,9.13,100.0,1,1
